シーズン,試合タイプ,チーム,背番号,選手名,勝利,敗北,セーブ,ホールド,ホールドポイント,登板数,投球回,勝率,防御率,WHIP,失点率,試合あたり失点,被安打率,被本塁打率,奪三振率,与四球率,奪三振/四球比,対戦打者数,被安打,失点,自責点,被本塁打,奪三振,与四球,敬遠,死球,暴投,ボーク,完投,完封,無四球試合,先発数,救援完了,選手ID
2024,Regular Season,広島カープ,34,"Takahashi, Kouya",0,0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1005134
2024,Regular Season,読売巨人,28,"Takahashi, Rei",2,2,0,0.0,0.0,11,46.2,0.5,3.66,1.35,3.857,1.818,8.1,0.579,4.243,4.05,1.048,199,42,20,19,3,22,21,1,1,1,0,1,0,0,9,1,1005136
2024,Regular Season,ソフトバンク,16,"Higashihama, Nao",3,2,0,0.0,0.0,11,56.0,0.6,3.38,1.143,3.536,2.0,8.518,1.125,6.268,1.768,3.545,232,53,22,21,7,39,11,1,1,0,0,0,0,0,11,0,1005137
2024,Regular Season,千葉ロッテ,35,"Tanaka, Haruya",1,1,0,0.0,0.0,4,20.0,0.5,1.8,1.0,4.05,2.25,6.3,0.9,7.65,2.7,2.833,79,14,9,4,2,17,6,0,0,0,0,0,0,0,4,0,1005157
2024,Climax Series - First Stage,日ハム,52,"Ikeda, Takahide",0,0,0,,,2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1105134
2024,Regular Season,日ハム,52,"Ikeda, Takahide",2,1,0,15.0,17.0,29,23.2,0.667,3.8,0.972,3.803,0.345,5.324,1.521,8.366,3.423,2.444,93,14,10,10,4,22,9,0,2,2,0,0,0,0,0,6,1105134
2024,Regular Season,読売巨人,63,"Izumi, Keisuke",2,0,1,5.0,7.0,35,37.1,1.0,1.93,1.045,2.411,0.286,6.75,0.0,7.232,2.652,2.727,149,28,10,8,0,30,11,2,4,1,0,0,0,0,0,18,1105138
2024,Regular Season,オリックス,20,"Abe, Shota",0,1,0,4.0,4.0,17,14.2,0.0,1.84,1.295,1.841,0.176,7.364,0.0,7.977,4.295,1.857,63,12,3,3,0,13,7,0,0,0,0,0,0,0,0,4,1105153
2024,Regular Season,阪神タイガース,63,"Ishiguro, Yuya",0,0,0,0.0,0.0,3,3.1,0.0,5.4,2.1,5.4,0.667,16.2,0.0,8.1,2.7,3.0,16,6,2,2,0,3,1,0,0,0,0,0,0,0,0,1,1105159
2024,Regular Season,千葉ロッテ,29,"Nishino, Yuji",9,8,0,0.0,0.0,20,122.1,0.529,3.24,1.234,3.384,2.3,8.828,0.589,5.665,2.281,2.484,510,120,46,44,8,77,31,1,4,1,0,1,0,0,20,0,1205118
2024,Regular Season,西武ライオンズ,20,"Tamura, Ichiro",1,0,0,1.0,2.0,28,29.2,1.0,1.82,1.18,3.034,0.357,7.281,0.303,7.281,3.337,2.182,122,24,10,6,1,24,11,0,0,0,0,0,0,0,0,7,1205134
2024,Regular Season,千葉ロッテ,48,"Nakamura, Toshiya",1,0,0,0.0,1.0,17,34.0,1.0,3.71,1.147,3.706,0.824,7.941,0.265,4.5,2.382,1.889,139,30,14,14,1,17,9,0,1,0,1,0,0,0,0,8,1205138
2024,Regular Season,楽天イーグルス,29,"Takada, Koichi",0,1,0,0.0,0.0,5,10.1,0.0,6.97,1.548,6.968,1.6,11.323,1.742,3.484,2.613,1.333,45,13,8,8,2,4,3,0,0,0,0,0,0,0,1,3,1205153
2024,Regular Season,日ハム,16,"Tatsu, Kota",1,0,0,0.0,0.0,1,5.0,1.0,0.0,0.6,0.0,0.0,5.4,0.0,7.2,0.0,,18,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1205155
2024,Climax Series - Final Stage,横浜DeNA,16,"Ohnuki, Shinichi",1,0,0,,,1,6.2,1.0,1.35,0.9,1.35,1.0,6.75,0.0,9.45,1.35,7.0,26,5,1,1,0,7,1,0,0,0,0,0,0,0,1,0,1305138
2024,Japan Series,横浜DeNA,16,"Ohnuki, Shinichi",0,1,0,,,2,6.1,0.0,8.53,2.211,9.947,3.5,17.053,2.842,9.947,2.842,3.5,31,12,7,6,2,7,2,0,0,0,0,0,0,0,2,0,1305138
2024,Regular Season,横浜DeNA,16,"Ohnuki, Shinichi",6,7,0,0.0,0.0,15,88.1,0.462,2.85,1.155,3.566,2.333,7.947,0.611,5.909,2.445,2.417,370,78,35,28,6,58,24,0,4,0,1,0,0,0,15,0,1305138
2024,Japan Series,ソフトバンク,26,"Ohtsu, Ryosuke",0,1,0,,,1,0.1,0.0,54.0,12.0,54.0,2.0,54.0,27.0,0.0,54.0,0.0,5,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1305157
2024,Regular Season,ソフトバンク,26,"Ohtsu, Ryosuke",7,7,0,0.0,0.0,19,119.1,0.5,2.87,1.031,2.866,2.0,7.617,0.83,7.316,1.659,4.409,470,101,38,38,11,97,22,1,1,1,1,0,0,0,19,0,1305157
2024,Regular Season,横浜DeNA,38,"Mori, Yuito",1,3,0,1.0,2.0,14,32.1,0.25,7.52,1.794,9.186,2.357,13.918,1.113,6.959,2.227,3.125,157,50,33,27,4,25,8,2,3,0,0,0,0,0,4,3,1405139
